id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the working hours of this asset?,What are the areas the asset gets support from government agencies (not for customers)?,How many Technical staff are employed in/for that asset?,How many Non Technical staff are employed in/for that asset?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,Is that Tap in working condition?,Is check valve working in the tap ?,How far is the tap from the water tank/Source ?,What is the diameter of the Pipe ?,How many Taps are connected to one standpod?,What is the length of the service tap?,What is the basement/ foundation is made of ?,Is there any rust on the tap ?,Were people drinking water while you visited this spot?,Are there any charges which come when getting water from this tap?,What is the frequency of technical maintenance or safety audit ?
3945,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59778,93.84332,pakka road,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support#technical support,100,9,discarded in open field,yes,yes,yes,below 200 meters,12mm,1,15,cement,no,yes,no,monthly
3946,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59758,93.84374,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,technical support,10,9,none,yes,yes,yes,below 200 meters,12mm,1,12,cement,no,yes,no,monthly
3948,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59838,93.84342,kacha road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,financial support,100,9,none,no,no,yes,below 200 meters,12mm,>4,15,cement,no,yes,no,never
3978,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.5574,93.84839,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,support via schemes,2,1,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,2,2,cement#bricks,yes,yes,no,never
3983,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55706,93.84798,kacha road,3g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,720,others,1,0,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,3,cement,no,yes,no,others
4004,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55823,93.84805,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,others,1,0,others,yes,yes,yes,below 200 meters,12mm,1,0,others,no,yes,yes,others
4053,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.60649,93.84551,kacha road with block point,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,yes,no,irregular
4066,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59733,93.84435,footway,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,480,none,15,9,none,yes,yes,yes,below 200 meters,12mm,2,20,cement,no,yes,no,yearly
4068,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59821,93.84055,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,others,1,30,cement,yes,yes,no,monthly
4070,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59482,93.84012,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,others,15,9,none,yes,yes,yes,above 500 meters,others,1,30,cement,no,yes,no,monthly
4071,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59463,93.8403,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,others,1,25,cement,no,yes,no,monthly
4077,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59545,93.84093,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,others,1,20,cement,no,yes,no,monthly
4078,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59494,93.84103,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,20,10,none,yes,yes,yes,below 200 meters,12mm,2,5,cement,no,yes,no,monthly
4139,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Kalong,27.59457,93.84067,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,420,none,15,9,none,yes,yes,yes,above 500 meters,12mm,1,25,cement,no,yes,no,monthly
4141,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.60118,93.82156,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,1,none,no,yes,yes,below 200 meters,12mm,1,1,cement,yes,no,no,irregular
4197,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.587020000000006,93.83553,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,yes,no,irregular
4222,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.526840000000004,93.83553,pakka road,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,mixes with the near by water bodies,yes,no,no,below 200 meters,others,2,1,cement,yes,no,no,irregular
4331,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58359,93.84325,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,no,no,between 200-500 meters,others,>4,0.5,cement,yes,no,no,never
4454,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59663,93.84143,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,15,9,none,yes,yes,yes,above 500 meters,others,2,25,cement,no,yes,no,yearly
4487,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.62418,93.85549,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,10,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,no,yes,irregular
4497,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.60826,93.83952,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,no,yes,irregular
4503,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.60826,93.83952,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,no,yes,irregular
4507,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.66663,93.83553,footway,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,none,no,no,no,below 200 meters,12mm,1,1,cement,no,no,no,never
4514,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.60826,93.77965,kacha road,2g reliable,airtel#bsnl#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,yes,yes,yes,irregular
4630,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Lempiya,27.56973,93.8924,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,1,1,discarded in govt. designated structures,yes,no,yes,above 500 meters,24mm,2,3,cement,no,yes,no,irregular
4650,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Dutta,27.67016,93.84352,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,others,no,yes,yes,irregular
4708,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59777,93.84461,footway,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,1,none,yes,yes,yes,below 200 meters,others,1,25,cement,yes,yes,no,monthly
4722,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59538,93.84505,footway,2g reliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,1320,none,1,1,none,yes,yes,yes,below 200 meters,12mm,1,15,others,yes,yes,no,monthly
4743,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Dutta,27.587020000000006,93.81558,footway,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,1,cement,no,yes,yes,irregular
4861,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58412,93.84419,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,yes,below 200 meters,others,1,0.5,cement,no,no,no,irregular
4865,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58405,93.84433,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,yes,below 200 meters,others,2,0.5,cement,no,no,no,irregular
4956,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Dutta,27.60295,93.89141,kacha road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,2,1,cement,no,yes,no,irregular
4973,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Lempiya,27.56973,93.8924,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,1,1,discarded in govt. designated structures,yes,no,yes,above 500 meters,24mm,2,3,cement,no,yes,no,irregular
5001,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.5575,93.84897,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,others,1,0,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,2,cement,yes,yes,no,others
5006,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.56837,93.84787,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,240,technical support#support via schemes,1,1,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,2,11,cement,no,yes,no,irregular
5008,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.56829,93.8481,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,240,technical support#support via schemes,1,1,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,22,cement,no,yes,no,irregular
5011,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.56782,93.84937,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,240,technical support#support via schemes,1,1,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,20,cement,no,yes,no,irregular
5040,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Michi,27.57011,93.82734,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none#others,1,1,mixes with the near by water bodies,yes,yes,yes,below 200 meters,others,1,2,cement,no,yes,no,irregular
5059,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Michi,27.57063,93.82867,kacha road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,financial support,1,1,discarded in open field,yes,yes,yes,below 200 meters,others,1,2,cement,no,yes,no,irregular
5111,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.57249,93.8291,pakka road,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,240,technical support#support via schemes,1,1,mixes with the near by water bodies,no,yes,no,below 200 meters,12mm,1,1,others,no,yes,no,irregular
5135,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Keiliya,27.62772,93.92933,pakka road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,others,yes,yes,yes,irregular
5147,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Keiliya,27.67724,93.82356,kacha road,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,1,cement,no,yes,yes,irregular
5247,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59775,93.84793,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,1,1,none,yes,yes,yes,above 500 meters,others,1,50,cement,no,yes,no,monthly
5254,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Reru,27.59722,93.84964,pakka road,2g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,1,1,none,yes,yes,yes,above 500 meters,others,1,50,cement,no,yes,no,monthly
5315,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58366,93.84339,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,yes,no,no,irregular
5406,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hija,27.5941,93.84751,footway,2g reliable,bsnl#vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,720,none,1,0,mixes with the near by water bodies,no,yes,yes,below 200 meters,12mm,1,1,cement,no,yes,yes,irregular
5418,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58534,93.84402,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
5513,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.57033,93.83185,pakka road,3g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,120,none,1,0,mixes with the near by water bodies,no,yes,no,below 200 meters,12mm,1,12,others,yes,no,no,never
5568,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.57058,93.83207,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,300,none,1,0,mixes with the near by water bodies,no,yes,no,below 200 meters,12mm,1,2,cement,no,yes,no,never
5572,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.56997,93.83189,pakka road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,360,technical support,1,1,mixes with the near by water bodies,no,yes,no,between 200-500 meters,12mm,1,2,cement,no,yes,no,never
5629,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Modang Tage,27.56833,93.8458,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,300,none,1,1,mixes with the near by water bodies,no,yes,no,below 200 meters,12mm,1,3,cement,no,yes,no,irregular
5698,Water,Public Taps/ Public Stand Pod,Papumpare,Itanagar,Ganga,27.08808,93.60561,kacha road,4g reliable,vodafone#bsnl#jio#airtel,"pakka/permenant(steel,concrete,etc.,)",none,450,support via schemes,2,0,mixes with the near by water bodies,no,yes,yes,above 500 meters,12mm,1,1,cement,no,yes,no,irregular
5806,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58315,93.84417,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,below 200 meters,others,1,0.5,cement,yes,no,no,irregular
5903,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58097,93.84626,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,no,no,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
5907,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.581390000000006,93.84606,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,no,between 200-500 meters,others,1,0.5,cement,yes,no,no,irregular
5923,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.583070000000006,93.84483,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
5928,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58315,93.84417,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,below 200 meters,others,1,0.5,cement,yes,no,no,irregular
5942,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58359,93.84355,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
5945,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.583,93.84367,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
6035,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.582590000000003,93.84351,pakka road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,below 200 meters,others,1,0.5,cement,yes,no,no,irregular
6163,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58456,93.84306,pakka road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
6222,Water,Public Taps/ Public Stand Pod,West Siang,Aalo,Kugi Pomte,28.1646,93.35041,pakka road,4g reliable,vodafone,"pakka/permenant(steel,concrete,etc.,)",none,1440,financial support,1,0,none,no,yes,yes,between 200-500 meters,24mm,>4,30,cement,no,yes,no,yearly
6244,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.58451,93.84344,pakka road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,technical support,1,0,discarded in open field,no,yes,yes,between 200-500 meters,others,1,0.5,cement,no,no,no,irregular
7038,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hari,27.57713,93.83317,kacha road,2g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,0,none,1,0,discarded in open field,no,yes,no,above 500 meters,others,1,5,others,no,no,no,irregular
7180,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Sibe,27.54822,93.8097,pakka road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,none,1,1,discarded in open field,yes,yes,yes,below 200 meters,others,1,1,cement,no,yes,no,irregular
7194,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Lempiya,27.59407,93.82374,kacha road,2g unreliable,vodafone#bsnl#airtel,"kacha/temporary(wood,bamboo,etc.,)",none,0,none,1,1,discarded in open field,no,yes,yes,below 200 meters,12mm,2,20,others,no,yes,no,irregular
7264,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hong,27.55756,93.84637,footway,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,240,others,1,1,mixes with the near by water bodies,yes,yes,yes,between 200-500 meters,12mm,1,35,cement,no,yes,no,monthly
7268,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hong,27.55757,93.84545,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,240,none,1,1,mixes with the near by water bodies,yes,yes,yes,between 200-500 meters,12mm,1,35,cement,no,no,no,monthly
7274,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Hong,27.5578,93.84699,kacha road,3g unreliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,240,none,1,1,mixes with the near by water bodies,yes,yes,yes,below 200 meters,12mm,1,35,cement,no,yes,no,monthly
7293,Water,Public Taps/ Public Stand Pod,Lower Subansiri,Ziro,Bamin,27.56925,93.82939,kacha road,3g reliable,vodafone#bsnl#airtel,"pakka/permenant(steel,concrete,etc.,)",none,1440,others#support via schemes,1,1,mixes with the near by water bodies,yes,yes,yes,below 200 meters,others,1,3,cement,no,yes,no,irregular
987,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Lapnan,26.991,95.48135,kacha road,3g unreliable,airtel,"pakka/permenant(steel,concrete,etc.,)",none,780,none,0,0,discarded in open field,yes,100m,10mm,1,1m,cement concrete,no,no,no,N/A,N/A,N/A
989,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Lapnan,26.99031,95.481,pakka road,3g unreliable,airtel,"pakka/permenant(steel,concrete,etc.,)",none,780,none,0,0,discarded in open field,yes,15m,10mm,1,1m,cement concrete,no,no,no,N/A,N/A,N/A
993,Water,Public Taps/ Public Stand Pod,Tirap,Khonsa,Lapnan,26.99033,95.4809,kacha road,4g unreliable,airtel,"pakka/permenant(steel,concrete,etc.,)",none,780,none,0,0,discarded in open field,yes,300m,10mm,1,1m,cement concrete,no,no,no,N/A,N/A,N/A
