id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of security available for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset go?,What are the other mechanism used to collect the waste water ?,Are the premises of this asset cleaned with disinfectant regularly?,How frequently are the premises at this asset cleaned with disinfectant in a week?,Who Constructed the Check dams?,What is the area of the check dam?,What is the height of the check dam that you observe ?,The check dam is made up of which material?,What are the other types of material used to build the Asset?
1002,2019-02-14 11:51:24,Water,Check Dam,pema ledan thungon,Government,In Use,West Kameng,Singchung,Singchung,27.19746,92.47282,Rejected,https://smartvillage.imagetrekk.com/storage/images/of7gzMU3jHK5yxNxMawIKJ43OEklWmx22TC4ZGKc.jpeg?asset_id=1002,required to be repair,Footway,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""Financial Support"",""Support via Schemes""]",Others,for using in agriculture field,No,,Farmers,0.1,4,Big Rocks,
1548,2019-02-25 06:29:33,Water,Check Dam,pema ledan thungon,Government,In Use,West Kameng,Singchung,Singchung,27.19746,92.47282,Rejected,https://smartvillage.imagetrekk.com/storage/images/DFmU74mx7ylja5WNzl22EhcUTsCDdn2JvODJPTi0.jpeg?asset_id=1548,required to be repair,Footway,4G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""Financial Support"",""Support via Schemes""]",Others,for using in agriculture field,No,,Farmers,0.1,4,Big Rocks,
4871,2019-05-12 07:57:39,Water,Check Dam,ngilyang thaka,Community,Not in Use,Lower Subansiri,Ziro,Molyang (Tajang),27.5819,93.83198,Approved,https://smartvillage.imagetrekk.com/storage/images/LQWg2wRu1vrA7SzpOD8xrWZT2lcdWZVG1tPO22nL.jpeg?asset_id=4871,check dam 1,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""None""]",Discarded in Open Field,,No,,Farmers,2,12,Concrete,
4872,2019-05-12 08:57:54,Water,Check Dam,nabam tadap,Government,In Use,Papumpare,Doimukh,Soppo,27.2387,93.81204,Approved,https://smartvillage.imagetrekk.com/storage/images/jXnF8FG5beU4fVmtfilI0G3DAiT0QKCYT6LpogOj.jpeg?asset_id=4872,Reliable,Kacha Road,2G Unreliable,"[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Vodafone"",""Airtel""]","[""Watchman""]","[""Financial Support"",""Technical Support"",""Insurance Support"",""Support via Schemes"",""Support via Subsidies""]",Mixes with the near by Water Bodies,,Yes,6,Government,98,150,Concrete,
5002,2019-05-12 13:30:45,Water,Check Dam,kago yubbey,Government,Not in Use,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.55594,93.84624,Approved,https://smartvillage.imagetrekk.com/storage/images/7tpRiejKJse1QL5GFmM6GeDuIEaAFr6cZNrhoyZJ.jpeg?asset_id=5002,check dam,Kacha Road,3G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""None""]",None,,No,,Government,50,3,Concrete,
6863,2019-05-31 06:18:41,Water,Check Dam,ngilyang thaka,Community,In Use,Lower Subansiri,Ziro,Lempiya,27.59894,93.85395,Approved,https://smartvillage.imagetrekk.com/storage/images/xT79v8lBfuvyoczEpU5vJqe1o8OH1cmOYlb4mTQK.jpeg?asset_id=6863,check dam 2,Kacha Road with Block Point,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""None""]",Mixes with the near by Water Bodies,,No,,Farmers,10,5,Concrete,
6888,2019-06-01 03:22:14,Water,Check Dam,ngilyang thaka,Community,In Use,Lower Subansiri,Ziro,Lempiya,27.55512,93.88966,Approved,https://smartvillage.imagetrekk.com/storage/images/9KX2bM69gGJrfdgxiZmBGnDWbTmSi714YjFaC0Dk.jpeg?asset_id=6888,check dam 3,Pakka Road,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""None""]",Mixes with the near by Water Bodies,,No,,Farmers,4,8,Concrete,
7072,2019-06-06 13:12:54,Water,Check Dam,ngilyang thaka,Community,In Use,Lower Subansiri,Ziro,Lempiya,27.5892,93.87592,Approved,https://smartvillage.imagetrekk.com/storage/images/5rEUGFyW7Ytku2Baou9WmGVENyF3BOxq1aPUiBHr.jpeg?asset_id=7072,community check dam at siike,Kacha Road with Block Point,Nil,,,,,,,"[""None""]","[""None""]",Discarded in Open Field,,No,,Farmers,25,12,Concrete,
7130,2019-06-07 04:21:31,Water,Check Dam,ngilyang thaka,Community,Repairable,Lower Subansiri,Ziro,Lempiya,27.62571,93.82648,Approved,https://smartvillage.imagetrekk.com/storage/images/LeGaOtFIF05DyD6xaPTmzMbVpiONBI6lSfl44hW1.jpeg?asset_id=7130,community check dam at supyu,Kacha Road with Block Point,2G Reliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""None""]","[""None""]",None,,No,,Farmers,20,5,Concrete,
7301,2019-06-10 12:40:13,Water,Check Dam,taba rancho,Private,Ir-repairable,Papumpare,Toru,Kheel,27.21327,93.72298,Rejected,https://smartvillage.imagetrekk.com/storage/images/PW5n71gCGfCZNN8jCpvwFb8k1OUmh9ktMKdro0jB.jpeg?asset_id=7301,bad,Kacha Road,4G Reliable,"[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Airtel""]","[""Others"",""None""]","[""None""]",None,,No,,Others,10,20,Concrete,