id,category,sub-category,district,circle,village,latitude,longitude,What is the type of the road available near to that asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location of this asset?,What is the type of structure of this asset?,What is the type of security available for the asset?,What are the areas the asset gets support from government agencies (not for customers)?,Where does the waste water generated from that asset goes to?,Are the premises of this asset cleaned with disinfectant regularly?,The Overhead water tank is made up of which Material?,Are there any leakages on the tank structure?,What is the storage capacity of the tank?,How many pipes have been connected to the tank?,How many valves are visible to the pipes connected to the tank?,Are there any devices connected to see the water level?,What is the frequency of technical maintenance or safety audit ?
711,Water,Over Head Tanks,Papumpare,Kimin,Durpa,27.302290000000003,93.96906,pakka road,3g reliable,airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,financial support#technical support#support via schemes,mixes with the near by water bodies,yes,concrete,yes,5000.0,1,1,no,monthly
1412,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.584570000000003,93.84316,pakka road with block point,3g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,support via schemes,mixes with the near by water bodies,no,concrete,no,6000.0,4,3,no,irregular
1447,Water,Over Head Tanks,East Siang,Oyan,Sika Bamin,27.9138,95.34577,pakka road,4g+ reliable,jio#airtel#vodafone,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,technical support,others,no,concrete,no,60000.0,2,1,no,yearly
1450,Water,Over Head Tanks,East Siang,Oyan,Sika Bamin,27.91331,95.34676999999999,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,none,discarded in govt. designated structures,yes,concrete,no,4000.0,1,1,no,yearly
1540,Water,Over Head Tanks,East Siang,Mebo,Mottum,28.07828,95.44065,kacha road,4g+ reliable,jio,"pakka/permenant(steel,concrete,etc.,)",watchman#compound wall\/ fencing,technical support#financial support,discarded in open field,yes,concrete,no,20000.0,3,3,yes,monthly
1541,Water,Over Head Tanks,East Siang,Mebo,Mottum,28.07807,95.44046999999999,kacha road,4g+ reliable,jio,"pakka/permenant(steel,concrete,etc.,)",watchman#compound wall\/ fencing,technical support#financial support,discarded in open field,no,steel,no,10000.0,1,1,no,never
1664,Water,Over Head Tanks,East Siang,Oyan,Rani,27.96565,95.31075,kacha road,4g+ reliable,airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,none,none,no,concrete,no,85000.0,3,3,no,monthly
1668,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.87923,95.31424,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,financial support,discarded in open field,yes,concrete,no,62.0,3,2,no,monthly
1669,Water,Over Head Tanks,East Siang,Mebo,Mebo,28.169659999999997,95.41738000000001,kacha road,4g+ reliable,airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,technical support,discarded in open field,no,concrete,yes,40000.0,4,2,yes,irregular
1673,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.875429999999998,95.31236,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,financial support,discarded in open field,yes,concrete,no,30.0,3,2,no,monthly
1676,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.87705,95.31021,kacha road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,financial support,mixes with the near by water bodies,yes,steel,no,22.5,3,2,no,monthly
1732,Water,Over Head Tanks,East Siang,Oyan,Sille Village,27.89322,95.30886,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,financial support,discarded in open field,yes,concrete,no,3500.0,2,3,no,monthly
1744,Water,Over Head Tanks,East Siang,Oyan,Sille Village,27.90257,95.30305,kacha road,4g+ reliable,vodafone#airtel#jio,"kacha/temporary(wood,bamboo,etc.,)",none,none,none,no,steel,no,40000.0,3,3,no,never
1746,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.886570000000003,95.31732,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,financial support,discarded in open field,yes,concrete,no,40.0,3,2,no,monthly
1747,Water,Over Head Tanks,East Siang,Oyan,Oyan Village,27.88547,95.31801999999999,kacha road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,financial support,discarded in open field,yes,steel,no,40.0,3,2,no,monthly
1748,Water,Over Head Tanks,East Siang,Oyan,Sille Village,27.90727,95.3014,pakka road,4g+ reliable,vodafone#airtel#jio,"pakka/permenant(steel,concrete,etc.,)",none,others,discarded in open field,no,concrete,no,40000.0,3,3,no,yearly
1772,Water,Over Head Tanks,East Siang,Oyan,Rani,27.97043,95.32813,kacha road,4g+ reliable,airtel#jio#other,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,others,discarded in open field,yes,steel,yes,35000.0,3,1,no,monthly
1773,Water,Over Head Tanks,East Siang,Oyan,Rani,27.961540000000003,95.31223,pakka road,4g+ reliable,airtel#jio#other,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,none,none,no,steel,no,62500.0,3,1,no,never
1784,Water,Over Head Tanks,East Siang,Oyan,Rani,27.966540000000002,95.31390999999999,kacha road,4g+ reliable,airtel#jio#other,"pakka/permenant(steel,concrete,etc.,)",none,others,discarded in open field,yes,concrete,no,20000.0,2,1,no,monthly
1870,Water,Over Head Tanks,Lower Subansiri,Ziro,Hija,27.58571,93.82611,pakka road with block point,3g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,support via schemes,mixes with the near by water bodies,no,concrete,no,20000.0,2,2,no,yearly
2078,Water,Over Head Tanks,Lower Subansiri,Ziro,Hong,27.558429999999998,93.84816,pakka road,3g reliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,financial support#technical support,mixes with the near by water bodies,no,concrete,no,20000.0,>4,>4,no,other
2513,Water,Over Head Tanks,Namsai,Lekang,Old Mohang,27.563540000000003,95.88044000000001,pakka road,4g unreliable,vodafone#airtel#idea#jio,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,none,discarded in open field,no,iron,no,2500.0,3,1,no,yearly
2570,Water,Over Head Tanks,Lower Subansiri,Yachuli,Jara,27.52523,93.76876999999999,kacha road,4g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,discarded in open field,no,concrete,no,500.0,1,2,no,yearly
2609,Water,Over Head Tanks,Lower Subansiri,Yachuli,Toon,27.46995,93.77741999999999,pakka road with block point,3g reliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,support via schemes,mixes with the near by water bodies,yes,concrete,no,5000.0,>4,>4,no,yearly
2610,Water,Over Head Tanks,Lower Subansiri,Yachuli,Toon,27.46422,93.77342,footway,3g reliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,support via schemes,mixes with the near by water bodies,yes,concrete,no,3000.0,3,3,no,yearly
3258,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.583340000000003,93.84589,kacha road,2g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,discarded in open field,no,concrete,no,10000.0,>4,>4,no,irregular
3325,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.58138,93.84125,pakka road,2g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,discarded in open field,no,concrete,no,8000.0,>4,1,no,irregular
3827,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.583779999999997,93.8442,pakka road,2g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,financial support,discarded in open field,no,concrete,no,7000.0,2,1,no,irregular
4291,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.58373,93.84135,pakka road,2g unreliable,vodafone#airtel#other,"pakka/permenant(steel,concrete,etc.,)",none,none,discarded in open field,no,concrete,no,10000.0,>4,>4,no,irregular
4493,Water,Over Head Tanks,Lower Subansiri,Ziro,Hija,27.59941,93.83154,pakka road,2g reliable,airtel#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,none,mixes with the near by water bodies,yes,concrete,no,20000.0,2,2,no,irregular
4747,Water,Over Head Tanks,Lower Subansiri,Ziro,Dutta,27.567559999999997,93.80759,pakka road,2g reliable,airtel#vodafone,"pakka/permenant(steel,concrete,etc.,)",none,none,mixes with the near by water bodies,yes,concrete,yes,5000.0,2,2,no,irregular
4837,Water,Over Head Tanks,Lower Subansiri,Ziro,Modang Tage,27.5704,93.83010999999999,pakka road,3g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,financial support#technical support#support via schemes,mixes with the near by water bodies,no,concrete,no,3000.0,2,2,no,never
4854,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.58489,93.84428,kacha road,2g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,discarded in open field,no,concrete,no,5000.0,2,1,no,irregular
4866,Water,Over Head Tanks,Lower Subansiri,Ziro,Lempiya,27.58434,93.8567,kacha road,2g reliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,others,none,no,concrete,yes,100.0,1,1,no,never
5082,Water,Over Head Tanks,Lower Subansiri,Ziro,Dutta,27.61003,93.87145,pakka road,2g reliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,mixes with the near by water bodies,yes,concrete,no,40000.0,3,3,no,irregular
5118,Water,Over Head Tanks,Lower Subansiri,Ziro,Modang Tage,27.58594,93.87068000000001,kacha road,3g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,technical support,mixes with the near by water bodies,yes,concrete,no,100000.0,>4,4,no,irregular
5209,Water,Over Head Tanks,Lower Subansiri,Ziro,Kalong,27.59422,93.8466,pakka road,2g reliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,none,yes,concrete,no,100.0,2,2,no,yearly
5570,Water,Over Head Tanks,Lower Subansiri,Ziro,Modang Tage,27.57038,93.83156,kacha road,3g unreliable,vodafone#airtel,"pakka/permenant(steel,concrete,etc.,)",none,technical support,mixes with the near by water bodies,no,concrete,yes,2000.0,4,2,no,never
5750,Water,Over Head Tanks,Lower Subansiri,Ziro,Hari,27.58029,93.8412,kacha road,2g unreliable,vodafone#idea#airtel,"pakka/permenant(steel,concrete,etc.,)",none,none,mixes with the near by water bodies,no,concrete,no,80.0,1,3,no,irregular
7117,Water,Over Head Tanks,Shi-Yomi,Monigong,Karle,28.74485,94.30266999999999,kacha road,2g unreliable,other,"pakka/permenant(steel,concrete,etc.,)",compound wall\/ fencing,support via schemes,mixes with the near by water bodies,no,concrete,no,2500.0,1,1,no,never
