id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go to the unit until it was open?,What is the type of the road available to the market?,How much distance should one travel from the market to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the market?,What are different Mobile network service providers available at the location of the unit?,What are the working hours of the market?(Ex: 9.00A.M-5.A.M),What are the working days of the market?,How many people are employed in the market?,Where do you get drinking water from for using at the market?,How much do you pay per litre of bottled water?,Where do you get water for operational purposes for the market?,Are there toilets available for public and employees' usage at the market?,Are there toilets available seperately as per gender at the unit?,Is there running water available in the toilets at the unit?,Is there soap for handwash available at the unit?,How do you deal with the waste generated from the market?,Are the premises of market cleaned with disinfectant regularly?,Do you have grid connection for energy supply for the market?,How many hours per day are you facing power cuts in the unit?,What is the alternative energy source available for the market?,How many hours do you rely on the alternative energy source in a day for the unit?,Is there landline connectivity for the market?,Does the market have wired internet connection?,How do people maintain records for operations of the market?,What are the areas the market gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the market?,Are you using digital technologies that can be used in the market?,Where do you procure inputs required for the market?,Where do you store the produce sold in the shops?,How many cubic meters are available for storage?,Do you have a cold storage facility?,What is the capacity in cubic meters?,How often did you need to throw away agricultural produce last week?,How do you document wastage of food?,How does the market advertise about the services available?,What is the average operational cost per month to run the stall?(Excluding Salary of the Employees),What is the average income per month from each stall?,What kind of permission is required to setup a stall in the market?,What is the amount to be paid to setup a stall in the market?(In Rupees),What is the payment mechanism used in the market?,What is the weighing mechanism used in the market?,How many types of products are available in the market?,What is the average cost of the top 5 most purchased goods in market?(In Rupees),Which type of customers purchase the inputs from the market?,How many customers purchase the inputs from the market in a year?,How do the customers transport goods from the market?,access,road_connectivity,public_transport,mobile_connectivity,accessibility,observation,working_hours,working_days,availability,staff,employability,drinking_water,water_for_operational_purposes,water,toilets,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,telephone,broadband,mobile,communication,records,record_maintenance,support,govt_support,ngo_support,awareness,digital_technologies,general,procurement,inputs,storage,infrastructure,advertisement,marketing,operational_cost,income,permission,setup_cost,payment_mechanism,weghing_mechanism,operations,number,cost,products,type,customers,transport_of_goods,logistics,inventory_capacity,cold_storage,inventory,x,documentation,food_wastage,specific,overall score
2491,Agriculture,Community Local Market,Papumpare,Parang,Parang,27.33142,93.50579,0.3333,0.75,0.875,0.0,0.0,0.75,0.8571,0.6,0.1111,0.0,0.1667,0.0,0.0,0.0,0.0,0.5,0.0,1.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333,0.1429,1.0,0.0,0.0,0.6667,0.0,0.25,0.05,0.008,0.3333,0.002,0.0,0.0,0.1,1.0,0.2,0.0,0.2,33.3333,75.0,87.5,0.0,50.625,50.625,37.5,42.8571,77.6786,60.0,60.0,0.7778,16.6667,5.5444,0.0,50.0,0.0,22.5,76.0,76.0,0.0,0.0,0.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,29.9402,33.3333,33.3333,14.2857,14.2857,25.0,25.0,5.0,0.8,33.3333,0.2,0.0,0.0,7.8667,0.004,100.0,55.0,20.0,10.002,20.0,20.0,100.0,0.0,50.0,33.3333,0.0,16.6667,24.3231,33.3371
2617,Agriculture,Community Local Market,West Kameng,Dirang,Dirang,27.36725,92.24531,0.3333,1.0,0.0,0.8333,0.6,0.9167,1.0,1.0,0.3333,0.0,0.3333,1.0,1.0,1.0,0.0,0.5,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.3333,0.2857,0.6667,0.0,0.0,1.0,0.0,0.125,0.03,0.06,0.3333,1.0,1.0,0.5,0.4,0.4,0.4,0.08,0.2,33.3333,100.0,0.0,83.3333,51.6667,51.6667,45.8333,50.0,93.75,100.0,100.0,2.3333,33.3333,11.6333,80.0,50.0,0.0,58.5,94.0,94.0,0.0,0.0,0.0,60.0,48.0,40.0,40.0,0.0,30.0,0.0,0.0,0.0,49.9633,33.3333,33.3333,28.5714,28.5714,12.5,12.5,3.0,6.0,33.3333,100.0,100.0,50.0,43.4667,8.0,40.0,40.0,40.0,24.0,20.0,20.0,66.6667,0.0,33.3333,50.0,0.0,25.0,29.6224,40.3039
2619,Agriculture,Community Local Market,West Kameng,Dirang,Dirang,27.359340000000003,92.24432,0.3333,1.0,0.0,0.8333,0.6,0.9167,1.0,1.0,0.3333,0.0,0.3333,1.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.3333,0.2857,1.0,0.0,0.0,0.6667,0.0,0.125,0.03,0.1,0.3333,1.0,1.0,0.5,0.4,0.2,0.2,0.04,0.2,33.3333,100.0,0.0,83.3333,51.6667,51.6667,45.8333,50.0,93.75,100.0,100.0,2.3333,33.3333,11.6333,70.0,50.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,60.0,48.0,40.0,40.0,0.0,30.0,0.0,0.0,0.0,40.1133,33.3333,33.3333,28.5714,28.5714,12.5,12.5,3.0,10.0,33.3333,100.0,100.0,50.0,44.2667,4.0,20.0,30.0,20.0,12.0,20.0,20.0,100.0,0.0,50.0,33.3333,0.0,16.6667,28.3757,37.7105
3338,Agriculture,Community Local Market,Papumpare,Doimukh,Soppo,27.213959999999997,93.79715999999999,1.0,1.0,0.75,0.1667,0.4,0.75,0.1429,1.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.8,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333,0.1429,1.0,0.0,0.0,0.3333,0.0,0.25,0.08,0.2,0.1667,1.0,1.0,0.5,1.0,1.0,0.6,0.048,0.5,100.0,100.0,75.0,16.6667,77.0833,77.0833,37.5,7.1429,59.8214,100.0,100.0,2.3333,33.3333,11.6333,0.0,0.0,0.0,0.0,94.0,94.0,0.0,0.0,0.0,40.0,32.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,32.7276,33.3333,33.3333,14.2857,14.2857,25.0,25.0,8.0,20.0,16.6667,100.0,100.0,50.0,43.9333,4.8,100.0,100.0,60.0,32.4,50.0,50.0,100.0,0.0,50.0,16.6667,0.0,8.3333,38.6395,48.9903
5308,Agriculture,Community Local Market,Papumpare,Doimukh,Doimukh,27.14395,93.75376,1.0,1.0,0.0,1.0,1.0,0.0833,1.0,1.0,0.1111,0.0,0.1667,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.8,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.0,0.3333,0.4286,1.0,0.0,0.0,1.0,0.0,0.375,1.0,0.002,0.1667,1.0,1.0,0.5,1.0,0.5,0.8,0.11,0.9,100.0,100.0,0.0,100.0,75.0,75.0,4.1667,50.0,31.25,100.0,100.0,0.7778,16.6667,5.5444,0.0,50.0,100.0,32.5,94.0,94.0,0.0,0.0,0.0,100.0,80.0,40.0,40.0,0.0,50.0,0.0,0.0,0.0,39.4544,33.3333,33.3333,42.8571,42.8571,37.5,37.5,100.0,0.2,16.6667,100.0,100.0,50.0,58.3733,11.0,50.0,75.0,80.0,45.5,90.0,90.0,100.0,0.0,50.0,50.0,0.0,25.0,50.8179,55.7998
5549,Agriculture,Community Local Market,Lower Subansiri,Ziro,Modang Tage,27.576009999999997,93.83239,0.6667,1.0,0.0,0.5,0.6,0.75,0.7143,0.0,0.3333,0.0,0.3333,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.6667,0.0,0.25,0.0001,0.0,0.3333,0.02,1.0,0.0,0.1,0.2,0.2,0.0,0.5,66.6667,100.0,0.0,50.0,55.0,55.0,37.5,35.7143,74.1071,0.0,0.0,2.3333,33.3333,11.6333,0.0,25.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,60.0,48.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,23.9098,0.0,0.0,0.0,0.0,25.0,25.0,0.01,0.002,33.3333,2.0,100.0,0.0,17.0691,0.005,20.0,15.0,20.0,10.0025,50.0,50.0,100.0,0.0,50.0,33.3333,0.0,16.6667,19.2273,30.8956
7190,Agriculture,Community Local Market,Lower Subansiri,Ziro,Bamin,27.54559,93.82551,0.3333,1.0,0.625,0.5,0.6,0.8333,0.1429,1.0,0.1111,0.0,0.1667,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333,0.1429,1.0,0.0,0.0,0.3333,0.0,0.25,0.05,0.02,0.3333,0.02,1.0,0.5,1.0,1.0,0.8,0.01,0.5,33.3333,100.0,62.5,50.0,60.625,60.625,41.6667,7.1429,66.0714,100.0,100.0,0.7778,16.6667,5.5444,0.0,25.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,60.0,48.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,26.6937,33.3333,33.3333,14.2857,14.2857,25.0,25.0,5.0,2.0,33.3333,2.0,100.0,50.0,23.4667,1.0,100.0,100.0,80.0,40.5,50.0,50.0,100.0,0.0,50.0,16.6667,0.0,8.3333,36.3795,41.716
713,Agriculture,Community Local Market,Papumpare,Banderdewa,Karsingsa Complex,27.121809999999996,93.78276,0.3333,1.0,1.0,1.0,0.4,0.25,1.0,1.0,0.2222,1.0,0.1667,0.0,0.0,0.0,0.0,0.25,1.0,1.0,0.6,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3333,0.2857,0.6667,0.0,0.0,0.3333,0.0,0.25,0.06,0.3,0.0,1.0,1.0,0.5,0.16,1.0,0.2,0.06,0.6,33.3333,100.0,100.0,100.0,80.0,80.0,12.5,50.0,43.75,100.0,100.0,31.5556,16.6667,27.0889,0.0,25.0,100.0,21.25,88.0,88.0,0.0,0.0,0.0,40.0,32.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,31.5839,33.3333,33.3333,28.5714,28.5714,25.0,25.0,6.0,30.0,0.0,100.0,100.0,50.0,42.2,6.0,100.0,58.0,20.0,13.0,60.0,60.0,66.6667,0.0,33.3333,16.6667,0.0,8.3333,33.7157,47.1746
766,Agriculture,Community Local Market,Lower Subansiri,Yachuli,Jara,27.52559,93.76899999999999,1.0,0.75,0.875,0.6667,0.6,0.25,1.0,0.9,0.3333,0.0,0.3333,1.0,0.0,1.0,0.0,0.25,1.0,1.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.2857,0.0,0.0,0.0,0.0,1.0,0.25,0.3,0.24,0.1667,0.6,1.0,0.5,0.2,0.68,0.4,0.0108,0.5,100.0,75.0,87.5,66.6667,83.9583,83.9583,12.5,50.0,43.75,90.0,90.0,2.3333,33.3333,11.6333,50.0,25.0,100.0,43.75,82.0,82.0,0.0,0.0,0.0,60.0,48.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,33.7883,0.0,0.0,28.5714,28.5714,25.0,25.0,30.0,24.0,16.6667,60.0,100.0,50.0,41.1333,1.08,68.0,44.0,40.0,20.54,50.0,50.0,0.0,0.0,0.0,0.0,50.0,25.0,26.9097,45.4
1759,Agriculture,Community Local Market,East Siang,Oyan,Oyan Village,27.88319000000001,95.31589,0.3333,1.0,1.0,1.0,0.8,0.0833,1.0,1.0,0.3333,0.0,0.3333,1.0,1.0,0.0,0.0,0.25,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.3333,0.4286,1.0,0.0,0.0,1.0,0.0,0.375,0.5,0.04,0.1667,0.004,1.0,0.5,0.2,0.35,0.2,0.01,0.1,33.3333,100.0,100.0,100.0,80.0,80.0,4.1667,50.0,31.25,100.0,100.0,2.3333,33.3333,11.6333,60.0,25.0,100.0,48.25,0.0,0.0,0.0,0.0,0.0,80.0,64.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,25.6383,33.3333,33.3333,42.8571,42.8571,37.5,37.5,50.0,4.0,16.6667,0.4,100.0,50.0,29.2133,1.0,35.0,27.5,20.0,10.5,10.0,10.0,100.0,0.0,50.0,50.0,0.0,25.0,30.1939,44.2246
1804,Agriculture,Community Local Market,Lower Subansiri,Pistana,Did,27.60029,93.67012,0.3333,0.5,0.75,0.0,0.0,0.8333,1.0,0.0,0.2222,0.0,0.3333,1.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.3,0.0,0.0,0.3333,0.1429,1.0,0.0,0.0,0.0,0.0,0.25,0.1,1.0,0.3333,0.01,1.0,0.0,0.3,0.1,0.4,1.0,0.1,33.3333,50.0,75.0,0.0,41.25,41.25,41.6667,50.0,87.5,0.0,0.0,1.5556,33.3333,11.0889,30.0,25.0,0.0,24.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,30.0,0.0,0.0,0.0,26.0839,33.3333,33.3333,14.2857,14.2857,25.0,25.0,10.0,100.0,33.3333,1.0,100.0,0.0,38.8667,100.0,10.0,20.0,40.0,70.0,10.0,10.0,100.0,0.0,50.0,0.0,0.0,0.0,28.8062,31.9949
