id,category,sub-category,district,circle,village,latitude,longitude,accessibility,infrastructure,availability,employability,water,sanitation,energy,alternate_energy,communication,record_maintenance,govt_support,educational_materials,digital_technologies,health,facilities,educational_statistics,disaster_preparedness,general_information,partnerships,overall score,,,,,,,,,
2506.00,Education,Schools,Tawang,Kitpi,Kitpi,27.58,91.90,52.53,85.00,86.61,4.80,45.00,35.50,50.00,46.97,18.00,14.29,85.71,27.27,0.00,87.20,8.00,26.03,0.00,57.00,100.00,55.95,,,,,,,,,
2660.00,Education,Schools,Tawang,Lumla,Manpat,27.54,91.72,58.80,85.00,75.15,21.24,45.00,63.38,0.00,0.00,18.00,14.29,42.86,3.64,0.00,24.00,32.30,35.08,0.00,49.00,75.00,50.37,,,,,,,,,
2662.00,Education,Schools,Tawang,Lumla,Manpat,27.53,91.71,55.67,80.00,85.04,29.78,45.00,33.75,75.00,0.00,18.00,14.29,42.86,34.55,0.00,84.00,12.30,41.08,0.00,48.00,75.00,52.26,,,,,,,,,
2666.00,Education,Schools,Tawang,Lumla,Lumla,27.54,91.73,42.00,80.00,80.36,21.24,45.00,73.75,75.00,4.55,18.00,14.29,71.43,34.55,100.00,84.00,37.90,30.08,0.00,67.00,75.00,57.59,,,,,,,,,
2736.00,Education,Schools,Tawang,Mukto,Gomkelling,27.55,91.93,23.00,85.00,83.48,7.02,45.00,40.00,75.00,0.00,18.00,14.29,0.00,34.55,0.00,60.00,28.60,25.58,0.00,48.00,75.00,44.75,,,,,,,,,
2778.00,Education,Schools,Tawang,Mukto,Mukto,27.54,91.93,45.00,90.00,68.75,28.09,45.00,62.50,50.00,42.42,48.00,28.57,85.71,34.55,100.00,96.80,66.00,36.33,100.00,67.00,75.00,62.81,,,,,,,,,
2779.00,Education,Schools,Tawang,Mukto,Mukto,27.55,91.93,23.80,85.00,80.36,33.42,45.00,47.50,50.00,0.00,18.00,14.29,71.43,34.55,0.00,36.00,29.80,27.98,100.00,69.00,75.00,53.18,,,,,,,,,
2816.00,Education,Schools,Tawang,Mukto,Mukto,27.55,91.91,44.20,80.00,74.11,14.22,45.00,35.50,50.00,0.00,18.00,14.29,71.43,34.55,0.00,60.00,7.40,26.38,0.00,68.00,75.00,53.80,,,,,,,,,
2857.00,Education,Schools,Lower Subansiri,Yachuli,Toon,27.46,93.78,33.67,80.00,74.11,16.80,45.00,7.50,50.00,0.00,18.00,14.29,42.86,24.55,0.00,60.00,8.00,14.93,0.00,63.67,100.00,50.90,,,,,,,,,
3119.00,Education,Schools,Papumpare,Doimukh,Chiputa,27.18,93.78,56.00,80.00,61.61,9.60,45.00,23.50,0.00,0.00,6.00,14.29,42.86,34.55,0.00,0.00,7.40,14.58,0.00,37.00,75.00,43.91,,,,,,,,,
3139.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.12,92.25,25.00,85.00,80.36,37.69,45.00,52.12,50.00,59.09,12.00,28.57,14.29,20.91,0.00,96.80,44.70,46.83,100.00,40.00,75.00,46.90,,,,,,,,,
3180.00,Education,Schools,West Kameng,Dirang,Dirang,27.34,92.27,56.30,80.00,74.11,37.69,45.00,48.62,0.00,51.52,18.00,14.29,0.00,17.27,0.00,36.00,18.50,31.23,100.00,70.00,75.00,57.03,,,,,,,,,
3357.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.63,93.88,21.33,85.00,67.86,16.44,45.00,7.50,0.00,0.00,18.00,14.29,28.57,13.64,0.00,0.00,8.00,13.73,0.00,40.00,75.00,37.57,,,,,,,,,
3554.00,Education,Schools,Lower Subansiri,Ziro,Hari,27.58,93.86,15.00,80.00,7.14,4.62,0.00,0.00,0.00,0.00,18.00,14.29,42.86,24.55,0.00,0.00,8.70,13.58,0.00,40.00,100.00,35.12,,,,,,,,,
3856.00,Education,Schools,Papumpare,Doimukh,Chiputa,27.18,93.78,32.50,55.00,74.11,35.11,30.00,75.62,75.00,51.52,24.00,14.29,0.00,13.64,0.00,60.00,53.50,30.83,0.00,47.00,75.00,44.11,,,,,,,,,
4218.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.60,93.86,20.33,80.00,54.46,0.00,45.00,24.38,0.00,0.00,18.00,14.29,0.00,10.00,0.00,0.00,6.80,13.33,0.00,10.00,75.00,27.24,,,,,,,,,
4434.00,Education,Schools,Tawang,Lumla,Manpat,27.53,91.70,30.00,85.00,86.61,39.91,45.00,71.88,50.00,0.00,6.00,14.29,71.43,34.55,100.00,24.00,41.50,40.33,100.00,49.00,75.00,51.22,,,,,,,,,
4529.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.59,93.80,40.33,80.00,54.46,0.00,45.00,17.88,0.00,0.00,18.00,14.29,0.00,10.00,0.00,0.00,6.80,13.33,0.00,10.00,75.00,31.34,,,,,,,,,
4723.00,Education,Schools,Lower Subansiri,Old Ziro,Kalung Reru,27.59,93.85,44.33,90.00,86.61,64.44,0.00,65.50,0.00,0.00,18.00,14.29,0.00,24.55,0.00,27.20,14.80,22.50,100.00,43.33,100.00,49.17,,,,,,,,,
4867.00,Education,Schools,Papumpare,Doimukh,Soppo,27.21,93.80,56.00,80.00,80.36,4.62,45.00,0.00,50.00,0.00,18.00,14.29,42.86,24.55,0.00,0.00,7.40,12.60,0.00,40.00,75.00,45.88,,,,,,,,,
5004.00,Education,Schools,Lower Subansiri,Ziro (Sadar),Hong Niitii,27.56,93.85,25.67,80.00,7.14,0.00,0.00,16.00,0.00,0.00,18.00,14.29,14.29,10.00,0.00,0.00,8.60,13.33,0.00,10.00,100.00,28.19,,,,,,,,,
5028.00,Education,Schools,Papumpare,Itanagar,Ganga,27.09,93.59,56.00,85.00,83.48,75.56,45.00,70.00,75.00,0.00,24.00,28.57,42.86,34.55,0.00,66.40,14.70,54.58,100.00,52.33,75.00,57.96,,,,,,,,,
5075.00,Education,Schools,Lower Subansiri,Ziro,Dutta,27.56,93.87,68.83,100.00,92.86,44.71,45.00,77.50,0.00,0.00,18.00,14.29,0.00,7.27,0.00,87.20,55.90,21.83,0.00,60.00,75.00,59.77,,,,,,,,,
5125.00,Education,Schools,Lower Subansiri,Ziro,Modang Tage,27.57,93.83,45.00,90.00,86.61,23.29,45.00,59.88,50.00,63.64,18.00,28.57,0.00,13.64,100.00,36.80,28.00,29.18,0.00,80.00,100.00,62.59,,,,,,,,,
5160.00,Education,Schools,Lower Subansiri,Ziro,Keiliya,27.54,93.80,36.33,85.00,74.11,30.84,45.00,66.25,0.00,0.00,18.00,14.29,0.00,34.55,0.00,27.20,9.80,15.28,0.00,60.00,75.00,48.41,,,,,,,,,
5174.00,Education,Schools,Lower Subansiri,Ziro,Keiliya,27.66,93.89,68.33,100.00,79.46,82.22,45.00,77.50,0.00,51.52,18.00,14.29,0.00,0.00,0.00,93.60,39.50,25.83,0.00,70.00,75.00,63.60,,,,,,,,,
5297.00,Education,Schools,West Siang,Kamba,Kambu,28.26,94.68,52.67,80.00,86.61,11.82,45.00,49.75,50.00,0.00,18.00,14.29,71.43,24.55,0.00,60.00,28.60,27.73,0.00,65.67,100.00,57.36,,,,,,,,,
5398.00,Education,Schools,Lower Subansiri,Ziro,Dutta,27.57,93.88,46.33,85.00,86.61,38.22,45.00,33.75,0.00,0.00,18.00,14.29,0.00,13.64,0.00,0.00,9.80,29.33,0.00,43.33,75.00,44.94,,,,,,,,,
5399.00,Education,Schools,Lower Subansiri,Ziro,Dutta,27.63,93.87,62.53,100.00,74.11,23.64,45.00,73.75,0.00,0.00,18.00,14.29,0.00,7.27,0.00,0.00,11.00,28.83,0.00,43.33,75.00,50.26,,,,,,,,,
5400.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.48,93.88,66.83,100.00,86.61,28.44,45.00,73.75,0.00,0.00,18.00,14.29,0.00,7.27,0.00,0.00,11.00,28.83,0.00,43.33,75.00,51.49,,,,,,,,,
5401.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.56,93.89,44.33,85.00,80.36,21.42,45.00,61.75,0.00,0.00,18.00,14.29,0.00,34.55,0.00,0.00,11.00,28.58,0.00,43.33,75.00,45.00,,,,,,,,,
5403.00,Education,Schools,Lower Subansiri,Ziro,Nenchaliya,27.66,93.78,59.33,100.00,86.61,28.44,45.00,73.75,0.00,0.00,18.00,14.29,0.00,7.27,0.00,0.00,9.80,26.58,0.00,43.33,75.00,49.85,,,,,,,,,
5404.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.62,93.85,42.33,85.00,61.61,0.00,30.00,0.00,0.00,0.00,18.00,14.29,0.00,10.00,0.00,0.00,6.80,13.33,0.00,10.00,75.00,31.85,,,,,,,,,
5466.00,Education,Schools,Papumpare,Banderdewa,Kharsingsa,27.11,93.78,31.00,85.00,60.71,14.04,15.00,31.88,50.00,0.00,0.00,14.29,42.86,34.55,0.00,84.00,27.40,21.83,0.00,49.00,75.00,45.44,,,,,,,,,
5511.00,Education,Schools,Papumpare,Toru,Dokte Hoj,27.26,93.80,56.00,55.00,64.73,19.02,45.00,31.88,0.00,37.88,18.00,14.29,14.29,24.55,0.00,36.00,13.50,15.83,100.00,47.00,100.00,47.68,,,,,,,,,
5515.00,Education,Schools,Lower Subansiri,Ziro,Modang Tage,27.57,93.84,30.00,85.00,74.11,0.00,0.00,7.50,0.00,0.00,18.00,14.29,0.00,20.00,0.00,0.00,6.20,19.33,0.00,10.00,100.00,30.78,,,,,,,,,
5517.00,Education,Schools,Lower Subansiri,Ziro,Modang Tage,27.57,93.84,25.00,80.00,74.11,4.62,45.00,23.50,0.00,0.00,18.00,14.29,0.00,20.00,0.00,0.00,6.80,17.38,0.00,50.00,100.00,41.95,,,,,,,,,
5573.00,Education,Schools,Lower Subansiri,Ziro,Ziro,27.57,93.83,35.00,90.00,67.86,23.64,45.00,59.88,50.00,0.00,18.00,14.29,71.43,23.64,0.00,0.00,9.80,15.93,0.00,47.00,100.00,48.38,,,,,,,,,
5578.00,Education,Schools,Papumpare,Toru,Dokte Hoj,27.25,93.81,33.00,50.00,7.14,0.00,45.00,0.00,0.00,0.00,18.00,14.29,0.00,10.00,0.00,0.00,10.50,13.33,0.00,10.00,100.00,26.49,,,,,,,,,
5581.00,Education,Schools,Papumpare,Toru,Dokte Hoj,27.25,93.81,33.00,50.00,7.14,0.00,0.00,0.00,0.00,0.00,18.00,14.29,0.00,10.00,0.00,0.00,10.50,13.33,0.00,30.00,100.00,30.74,,,,,,,,,
5631.00,Education,Schools,Lower Subansiri,Ziro,Modang Tage,27.57,93.85,32.50,95.00,92.86,78.76,45.00,75.62,50.00,63.64,18.00,28.57,71.43,34.55,0.00,36.80,67.10,45.33,100.00,71.33,75.00,61.59,,,,,,,,,
5808.00,Education,Schools,West Siang,Kamba,Kambu,28.26,94.68,52.67,80.00,86.61,11.82,45.00,49.75,50.00,0.00,18.00,14.29,71.43,24.55,0.00,60.00,28.60,27.73,0.00,65.67,100.00,57.36,,,,,,,,,
6146.00,Education,Schools,Lower Subansiri,Ziro,Reru,27.60,93.84,35.83,80.00,92.86,46.22,30.00,77.50,0.00,0.00,18.00,14.29,42.86,10.00,0.00,0.00,7.40,14.33,0.00,23.33,100.00,38.96,,,,,,,,,
6226.00,Education,Schools,West Siang,Aalo,Kugi Pomte,28.29,93.57,30.00,85.00,61.61,12.00,45.00,75.62,50.00,0.00,6.00,14.29,42.86,34.55,0.00,60.00,8.00,14.58,0.00,79.00,75.00,54.18,,,,,,,,,
6254.00,Education,Schools,Lower Subansiri,Ziro,Hari,27.59,93.85,32.00,80.00,61.61,9.42,15.00,0.00,0.00,0.00,18.00,28.57,14.29,17.27,100.00,0.00,6.80,9.00,0.00,40.00,100.00,41.05,,,,,,,,,
6625.00,Education,Schools,East Siang,Pasighat,Roying,28.06,95.28,39.17,55.00,64.73,21.24,45.00,28.12,0.00,0.00,6.00,14.29,0.00,24.55,0.00,84.00,8.00,14.68,0.00,47.00,100.00,42.23,,,,,,,,,
6793.00,Education,Schools,Lower Subansiri,Ziro,Reru,27.60,93.84,44.33,80.00,77.23,14.22,45.00,77.50,75.00,0.00,48.00,28.57,0.00,10.00,0.00,0.00,33.60,22.00,100.00,47.00,100.00,51.30,,,,,,,,,
6927.00,Education,Schools,Lower Subansiri,Ziro,Lempiya,27.58,93.83,59.33,90.00,86.61,61.16,45.00,64.38,50.00,42.42,48.00,28.57,42.86,34.55,100.00,96.80,41.50,50.33,0.00,78.00,75.00,67.52,,,,,,,,,
7015.00,Education,Schools,Lower Subansiri,Ziro,Kalong,27.59,93.84,44.33,50.00,80.36,9.24,30.00,61.50,0.00,0.00,18.00,14.29,0.00,7.27,0.00,60.00,6.80,14.08,0.00,30.00,100.00,37.03,,,,,,,,,
7044.00,Education,Schools,Lower Subansiri,Ziro,Lempiya,27.54,93.81,35.33,50.00,74.11,7.02,30.00,22.50,0.00,0.00,18.00,14.29,42.86,24.55,0.00,0.00,9.30,8.50,0.00,53.33,100.00,41.18,,,,,,,,,
1344.00,Education,Schools,West Kameng,Nafra,Lower Dzong,27.37,92.53,58.00,85.00,74.11,2.40,15.00,7.50,0.00,0.00,18.00,14.29,71.43,34.55,0.00,60.00,29.90,18.18,0.00,50.00,75.00,49.74,,,,,,,,,
1350.00,Education,Schools,East Siang,Oyan,Rani,28.02,95.34,36.00,55.00,61.61,9.60,0.00,7.50,0.00,0.00,6.00,14.29,0.00,24.55,0.00,60.00,8.00,14.23,0.00,40.00,100.00,37.18,,,,,,,,,
1355.00,Education,Schools,East Siang,Oyan,Rani,27.97,95.32,36.00,55.00,67.86,16.80,45.00,7.50,50.00,0.00,12.00,14.29,0.00,24.55,0.00,60.00,28.00,15.43,0.00,49.00,100.00,43.57,,,,,,,,,
1359.00,Education,Schools,East Siang,Oyan,Oyan Village,27.88,95.36,10.00,80.00,80.36,30.49,0.00,28.12,0.00,0.00,24.00,14.29,42.86,34.55,0.00,96.80,9.80,24.23,0.00,60.00,100.00,44.00,,,,,,,,,
1376.00,Education,Schools,East Siang,Oyan,Rani,27.96,95.32,68.50,90.00,92.86,83.20,0.00,77.50,50.00,59.09,18.00,28.57,0.00,17.27,0.00,76.00,12.30,46.33,0.00,69.00,100.00,64.16,,,,,,,,,
1381.00,Education,Schools,West Kameng,Nafra,Lower Dzong,27.37,92.53,67.50,55.00,76.71,25.87,45.00,64.38,75.00,0.00,18.00,14.29,0.00,17.27,0.00,60.00,37.30,29.50,0.00,47.00,75.00,50.24,,,,,,,,,
1528.00,Education,Schools,East Siang,Mebo,Mebo,28.16,95.42,41.00,95.00,86.61,75.56,45.00,63.62,0.00,59.09,24.00,28.57,42.86,34.55,100.00,30.40,27.10,59.33,0.00,69.00,75.00,59.36,,,,,,,,,
1538.00,Education,Schools,East Siang,Mebo,Mottum,28.08,95.43,41.00,85.00,83.48,35.82,45.00,52.38,0.00,0.00,6.00,14.29,42.86,34.55,0.00,96.80,64.50,31.03,0.00,62.33,75.00,53.51,,,,,,,,,
