id,category,sub-category,district,circle,village,latitude,longitude,How many times did you go there until it was open?,What is the type of the road available to the asset?,How much distance should one travel to avail public transport facility? (in K.M),How many school buses go to this asset?,What is the type of the mobile network available at the asset?,What are different Mobile network service providers available at the location?,What is the type of structure of this asset?,What is the type of security available for the asset?,What is the total campus area?,What are the working hours of the facility?(Ex: 9.00A.M-5.A.M),What are the working days of the facility?,How many teachers are employed in the facility?,How many support staff are employed in the facility?,Where do you get drinking water from?,How much do you pay per litre of bottled water? (In Rupees),Are there toilets available seperately as per gender?,Is there running water available in the toilets at this asset?,Is there soap for handwash available next to the sink?,How do you deal with the waste generated from the facility?,Are the premises cleaned with disinfectant regularly?,How frequently are the premises cleaned with disinfectant in a week?,Do you have grid connection for energy supply?,How many hours per day are you facing power cuts?,What is the alternative energy source available in the facility?,How many hours do you rely on the alternative energy source in a day?,Do you have landline connectivity?,Do you have wired internet connection?,How do you maintain records?,What are the areas you get support from government agencies?,Where do you majorly get textbooks for educational purposes?,Where do you get the curriculum for classes and educational programs?,Are you using digital tools for your operations?,Are there checkups or medical facilities available?,What is the frequency of these checkups?,Are there any meals served?,Is the nutritional value monitored?,Is there presence of any recreational/playing material for the kids?,What kind of residential facilities are available?,How many classrooms are there in the institute ?,Does the institute have a hall or auditorium?,Which labs are present in the institute?,Does the institute have a designated library?,How many people are students at this asset?,Apart from academics what are the co-curricular activities available for students ?,What is the percentage of drop-outs?,What is the reason for dropouts?,Are there any disaster management courses or drills practice at the institute?,"Is this a primary, secondary, or senior secondary school?",Are there any counselors at this institute?,Do parent-teacher meetings take place?,How often do parent-teacher meetings occur?,Does the institute require uniforms?,Are the teachers certified?,How frequently does the teacher trainer visit the school?,Which Board/University is this school affiliated with?,access,road_connectivity,public_transport,school_buses,mobile_connectivity,accessibility,building_type,security,land,infrastructure,observation,working_hours,working_days,availability,teachers,support_staff,employability,drinking_water,water,toilets,waste_management,general_cleanliness,sanitation,electricity,energy,alternate_energy,telephone,broadband,mobile,communication,records,record_maintenance,support,govt_support,textbooks,curriculum,educational_materials,awareness,digital_technologies,checkups,meals,health,recreational,residential,classrooms,auditorium,labs,libraries,facilities,enrollment_population,extra_curriculars,dropouts,educational_statistics,disaster_drills,disaster_preparedness,general,school_type,counselors,parent_teacher_meetings,uniforms,certification,training,general_information,affiliation,partnerships,specific,overall score,,
2506.00,Education,Schools,Tawang,Kitpi,Kitpi,27.58,91.90,1.00,0.50,0.96,0.00,0.33,0.60,1.00,0.25,1.00,0.88,0.86,0.08,0.00,0.50,0.00,1.00,1.00,0.00,0.25,0.00,0.00,1.00,0.00,0.27,0.67,0.00,0.00,0.14,0.86,0.18,0.33,0.00,1.00,0.20,1.00,1.00,0.00,0.00,0.10,0.00,0.25,0.00,0.02,0.60,0.67,0.17,0.00,0.33,0.00,1.00,0.25,1.00,1.00,0.50,1.00,100.00,50.00,96.00,0.00,33.33,52.53,100.00,25.00,100.00,85.00,65.52,87.50,85.71,86.61,8.00,0.00,4.80,45.00,45.00,70.00,25.00,0.00,35.50,50.00,50.00,46.97,0.00,0.00,60.00,18.00,14.29,14.29,85.71,85.71,18.18,33.33,27.27,0.00,0.00,68.00,100.00,87.20,0.00,0.00,10.00,0.00,25.00,0.00,8.00,1.75,60.00,36.67,26.03,0.00,0.00,33.52,33.33,0.00,70.00,100.00,100.00,50.00,57.00,100.00,100.00,65.60,55.95,,
2660.00,Education,Schools,Tawang,Lumla,Manpat,27.54,91.72,1.00,1.00,0.94,0.00,0.00,0.60,1.00,0.25,1.00,0.65,0.86,0.28,0.11,0.50,0.00,0.00,1.00,1.00,0.50,1.00,0.62,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.43,0.09,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.50,0.16,0.00,0.25,0.00,0.09,0.80,0.67,0.17,0.00,0.33,0.00,1.00,0.75,1.00,1.00,0.00,0.75,100.00,100.00,94.00,0.00,0.00,58.80,100.00,25.00,100.00,85.00,69.28,64.58,85.71,75.15,28.00,11.11,21.24,45.00,45.00,60.00,50.00,81.25,63.38,0.00,0.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,42.86,42.86,9.09,0.00,3.64,0.00,0.00,60.00,0.00,24.00,100.00,50.00,16.00,0.00,25.00,0.00,32.30,9.38,80.00,36.67,35.08,0.00,0.00,23.86,33.33,0.00,90.00,100.00,100.00,0.00,49.00,75.00,75.00,54.20,50.37,,
2662.00,Education,Schools,Tawang,Lumla,Manpat,27.53,91.71,0.75,1.00,0.70,0.00,0.67,0.60,1.00,0.00,1.00,0.84,0.86,0.20,0.44,0.50,0.00,0.00,0.00,0.00,0.25,1.00,0.75,1.00,0.50,0.00,0.00,0.00,0.00,0.14,0.43,0.36,0.33,0.00,1.00,0.00,1.00,1.00,0.00,0.50,0.16,0.00,0.25,0.00,0.24,0.80,0.67,0.17,0.00,0.33,0.00,1.00,0.50,1.00,1.00,0.00,0.75,75.00,100.00,70.00,0.00,66.67,55.67,100.00,0.00,100.00,80.00,65.40,84.38,85.71,85.04,20.00,44.44,29.78,45.00,45.00,0.00,25.00,87.50,33.75,75.00,75.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,42.86,42.86,36.36,33.33,34.55,0.00,0.00,60.00,100.00,84.00,0.00,50.00,16.00,0.00,25.00,0.00,12.30,24.38,80.00,36.67,41.08,0.00,0.00,35.61,33.33,0.00,80.00,100.00,100.00,0.00,48.00,75.00,75.00,53.40,52.26,,
2666.00,Education,Schools,Tawang,Lumla,Lumla,27.54,91.73,1.00,0.50,0.60,0.00,0.00,0.60,1.00,0.00,1.00,0.75,0.86,0.28,0.11,0.50,0.00,1.00,1.00,1.00,0.50,1.00,0.25,1.00,0.50,0.09,0.00,0.00,0.00,0.14,0.71,0.36,0.33,1.00,1.00,0.00,1.00,1.00,1.00,0.50,0.18,1.00,0.25,0.00,0.12,0.60,0.67,0.17,0.00,0.33,1.00,1.00,0.25,1.00,1.00,0.50,0.75,100.00,50.00,60.00,0.00,0.00,42.00,100.00,0.00,100.00,80.00,57.20,75.00,85.71,80.36,28.00,11.11,21.24,45.00,45.00,100.00,50.00,62.50,73.75,75.00,75.00,4.55,0.00,0.00,60.00,18.00,14.29,14.29,71.43,71.43,36.36,33.33,34.55,100.00,100.00,60.00,100.00,84.00,100.00,50.00,18.00,100.00,25.00,0.00,37.90,11.88,60.00,36.67,30.08,0.00,0.00,45.19,33.33,100.00,70.00,100.00,100.00,50.00,67.00,75.00,75.00,68.60,57.59,,
2736.00,Education,Schools,Tawang,Mukto,Gomkelling,27.55,91.93,0.25,0.00,0.90,0.00,0.00,0.60,1.00,0.25,1.00,0.81,0.86,0.08,0.06,0.50,0.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,0.50,0.00,0.00,0.00,0.00,0.14,0.00,0.36,0.33,0.00,0.00,0.00,1.00,1.00,1.00,0.00,0.12,0.00,0.25,0.00,0.01,0.60,0.67,0.17,0.00,0.33,0.00,1.00,0.50,1.00,1.00,0.00,0.75,25.00,0.00,90.00,0.00,0.00,23.00,100.00,25.00,100.00,85.00,47.80,81.25,85.71,83.48,8.00,5.56,7.02,45.00,45.00,100.00,0.00,0.00,40.00,75.00,75.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,0.00,0.00,36.36,33.33,34.55,0.00,0.00,0.00,100.00,60.00,100.00,0.00,12.00,0.00,25.00,0.00,28.60,0.62,60.00,36.67,25.58,0.00,0.00,31.08,33.33,0.00,80.00,100.00,100.00,0.00,48.00,75.00,75.00,53.40,44.75,,
2778.00,Education,Schools,Tawang,Mukto,Mukto,27.54,91.93,0.25,1.00,1.00,0.00,0.00,0.60,1.00,0.50,1.00,0.38,1.00,0.32,0.22,0.50,0.00,1.00,1.00,1.00,0.00,1.00,0.50,1.00,0.00,0.18,0.67,0.00,1.00,0.29,0.86,0.36,0.33,1.00,1.00,0.80,1.00,1.00,1.00,0.00,0.20,1.00,0.75,1.00,0.12,0.80,0.67,0.17,1.00,0.33,1.00,1.00,0.25,0.00,1.00,1.00,0.75,25.00,100.00,100.00,0.00,0.00,45.00,100.00,50.00,100.00,90.00,63.00,37.50,100.00,68.75,32.00,22.22,28.09,45.00,45.00,100.00,0.00,75.00,62.50,50.00,50.00,42.42,0.00,100.00,60.00,48.00,28.57,28.57,85.71,85.71,36.36,33.33,34.55,100.00,100.00,92.00,100.00,96.80,100.00,0.00,20.00,100.00,75.00,100.00,66.00,12.50,80.00,36.67,36.33,100.00,100.00,55.82,33.33,100.00,70.00,0.00,100.00,100.00,67.00,75.00,75.00,68.60,62.81,,
2779.00,Education,Schools,Tawang,Mukto,Mukto,27.55,91.93,0.25,0.00,0.94,0.00,0.00,0.60,1.00,0.25,1.00,0.75,0.86,0.52,0.06,0.50,0.00,1.00,1.00,1.00,0.25,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.71,0.36,0.33,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.16,0.00,0.25,1.00,0.07,0.60,0.67,0.17,1.00,0.33,0.00,1.00,0.75,1.00,1.00,1.00,0.75,25.00,0.00,94.00,0.00,0.00,23.80,100.00,25.00,100.00,85.00,48.28,75.00,85.71,80.36,52.00,5.56,33.42,45.00,45.00,100.00,25.00,0.00,47.50,50.00,50.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,71.43,71.43,36.36,33.33,34.55,0.00,0.00,0.00,60.00,36.00,0.00,0.00,16.00,0.00,25.00,100.00,29.80,6.62,60.00,36.67,27.98,100.00,100.00,39.05,33.33,0.00,90.00,100.00,100.00,100.00,69.00,75.00,75.00,70.20,53.18,,
2816.00,Education,Schools,Tawang,Mukto,Mukto,27.55,91.91,0.25,1.00,0.96,0.00,0.00,0.60,1.00,0.00,1.00,0.62,0.86,0.20,0.06,0.50,0.00,1.00,1.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.71,0.36,0.33,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.08,0.00,0.25,0.00,0.03,0.60,0.67,0.17,0.00,0.33,0.00,1.00,0.50,1.00,1.00,1.00,0.75,25.00,100.00,96.00,0.00,0.00,44.20,100.00,0.00,100.00,80.00,58.52,62.50,85.71,74.11,20.00,5.56,14.22,45.00,45.00,70.00,25.00,0.00,35.50,50.00,50.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,71.43,71.43,36.36,33.33,34.55,0.00,0.00,0.00,100.00,60.00,0.00,0.00,8.00,0.00,25.00,0.00,7.40,2.62,60.00,36.67,26.38,0.00,0.00,30.10,33.33,0.00,80.00,100.00,100.00,100.00,68.00,75.00,75.00,69.40,53.80,,
2857.00,Education,Schools,Lower Subansiri,Yachuli,Toon,27.46,93.78,0.50,0.25,0.60,0.00,0.67,0.60,1.00,0.00,1.00,0.62,0.86,0.28,0.00,0.50,0.00,0.00,0.00,0.00,0.25,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.43,0.36,0.17,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.10,0.00,0.25,0.00,0.04,0.20,0.67,0.17,0.00,0.33,0.00,1.00,0.25,1.00,1.00,0.83,1.00,50.00,25.00,60.00,0.00,66.67,33.67,100.00,0.00,100.00,80.00,52.20,62.50,85.71,74.11,28.00,0.00,16.80,45.00,45.00,0.00,25.00,0.00,7.50,50.00,50.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,42.86,42.86,36.36,16.67,24.55,0.00,0.00,0.00,100.00,60.00,0.00,0.00,10.00,0.00,25.00,0.00,8.00,4.00,20.00,36.67,14.93,0.00,0.00,26.02,33.33,0.00,70.00,100.00,100.00,83.33,63.67,100.00,100.00,70.93,50.90,,
3119.00,Education,Schools,Papumpare,Doimukh,Chiputa,27.18,93.78,1.00,1.00,0.80,0.00,0.00,0.20,1.00,0.00,1.00,0.38,0.86,0.16,0.00,0.50,0.00,1.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.43,0.36,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.25,0.00,0.03,0.20,0.67,0.17,0.00,0.33,0.00,1.00,0.25,0.00,1.00,0.00,0.75,100.00,100.00,80.00,0.00,0.00,56.00,100.00,0.00,100.00,80.00,65.60,37.50,85.71,61.61,16.00,0.00,9.60,45.00,45.00,40.00,25.00,0.00,23.50,0.00,0.00,0.00,0.00,0.00,20.00,6.00,14.29,14.29,42.86,42.86,36.36,33.33,34.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,25.00,0.00,7.40,3.12,20.00,36.67,14.58,0.00,0.00,17.80,33.33,0.00,70.00,0.00,100.00,0.00,37.00,75.00,75.00,44.60,43.91,,
3139.00,Education,Schools,West Kameng,Shergaon,Shergaon,27.12,92.25,0.25,1.00,0.00,0.00,0.00,0.40,1.00,0.25,1.00,0.75,0.86,0.48,0.22,0.50,0.00,0.00,1.00,1.00,0.25,1.00,0.38,1.00,0.00,0.18,1.00,0.00,0.00,0.29,0.14,0.27,0.17,0.00,1.00,0.80,1.00,1.00,0.00,0.50,0.24,1.00,0.50,1.00,0.54,0.60,0.67,0.17,1.00,0.33,0.00,1.00,1.00,0.00,1.00,0.00,0.75,25.00,100.00,0.00,0.00,0.00,25.00,100.00,25.00,100.00,85.00,49.00,75.00,85.71,80.36,48.00,22.22,37.69,45.00,45.00,60.00,25.00,68.75,52.12,50.00,50.00,59.09,0.00,0.00,40.00,12.00,28.57,28.57,14.29,14.29,27.27,16.67,20.91,0.00,0.00,92.00,100.00,96.80,0.00,50.00,24.00,100.00,50.00,100.00,44.70,53.75,60.00,36.67,46.83,100.00,100.00,44.33,33.33,0.00,100.00,0.00,100.00,0.00,40.00,75.00,75.00,47.00,46.90,,
3180.00,Education,Schools,West Kameng,Dirang,Dirang,27.34,92.27,0.50,1.00,0.94,0.25,0.00,0.60,1.00,0.00,1.00,0.62,0.86,0.48,0.22,0.50,0.00,1.00,0.00,1.00,0.00,1.00,0.38,0.00,0.00,0.36,0.67,0.00,0.00,0.14,0.00,0.18,0.17,0.00,0.00,0.00,1.00,0.00,0.00,0.50,0.20,1.00,0.25,0.00,0.15,0.60,0.67,0.17,1.00,0.33,0.00,1.00,1.00,1.00,1.00,1.00,0.75,50.00,100.00,94.00,25.00,0.00,56.30,100.00,0.00,100.00,80.00,65.78,62.50,85.71,74.11,48.00,22.22,37.69,45.00,45.00,70.00,0.00,68.75,48.62,0.00,0.00,51.52,0.00,0.00,60.00,18.00,14.29,14.29,0.00,0.00,18.18,16.67,17.27,0.00,0.00,0.00,60.00,36.00,0.00,50.00,20.00,100.00,25.00,0.00,18.50,14.75,60.00,36.67,31.23,100.00,100.00,30.53,33.33,0.00,100.00,100.00,100.00,100.00,70.00,75.00,75.00,71.00,57.03,,
3357.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.63,93.88,0.25,0.25,0.40,0.00,0.33,0.60,1.00,0.25,1.00,0.50,0.86,0.20,0.11,0.50,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.29,0.09,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.25,0.00,0.01,0.20,0.67,0.17,0.00,0.33,0.00,0.00,0.00,1.00,1.00,0.00,0.75,25.00,25.00,40.00,0.00,33.33,21.33,100.00,25.00,100.00,85.00,46.80,50.00,85.71,67.86,20.00,11.11,16.44,45.00,45.00,0.00,25.00,0.00,7.50,0.00,0.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,28.57,28.57,9.09,16.67,13.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,0.00,25.00,0.00,8.00,1.00,20.00,36.67,13.73,0.00,0.00,15.81,33.33,0.00,0.00,100.00,100.00,0.00,40.00,75.00,75.00,47.00,37.57,,
3554.00,Education,Schools,Lower Subansiri,Ziro,Hari,27.58,93.86,0.25,0.50,0.00,0.00,0.00,0.60,1.00,0.00,1.00,0.00,0.14,0.04,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.43,0.36,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.04,0.00,0.25,0.00,0.01,0.20,0.67,0.17,0.00,0.33,0.00,0.00,0.00,1.00,1.00,0.00,1.00,25.00,50.00,0.00,0.00,0.00,15.00,100.00,0.00,100.00,80.00,41.00,0.00,14.29,7.14,4.00,5.56,4.62,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,42.86,42.86,36.36,16.67,24.55,0.00,0.00,0.00,0.00,0.00,0.00,50.00,4.00,0.00,25.00,0.00,8.70,0.62,20.00,36.67,13.58,0.00,0.00,8.58,33.33,0.00,0.00,100.00,100.00,0.00,40.00,100.00,100.00,52.00,35.12,,
3856.00,Education,Schools,Papumpare,Doimukh,Chiputa,27.18,93.78,0.75,0.50,0.00,0.25,0.00,0.80,0.00,0.25,1.00,0.62,0.86,0.40,0.28,0.33,0.00,1.00,1.00,1.00,0.25,1.00,0.88,1.00,0.50,0.36,0.67,0.00,0.00,0.14,0.00,0.09,0.17,0.00,1.00,0.00,1.00,0.00,1.00,0.50,0.20,0.00,0.25,1.00,0.14,0.60,0.67,0.17,0.00,0.33,0.00,1.00,0.25,1.00,1.00,0.00,0.75,75.00,50.00,0.00,25.00,0.00,32.50,0.00,25.00,100.00,55.00,41.50,62.50,85.71,74.11,40.00,27.78,35.11,30.00,30.00,100.00,25.00,93.75,75.62,75.00,75.00,51.52,0.00,0.00,80.00,24.00,14.29,14.29,0.00,0.00,9.09,16.67,13.64,0.00,0.00,60.00,60.00,60.00,100.00,50.00,20.00,0.00,25.00,100.00,53.50,13.75,60.00,36.67,30.83,0.00,0.00,37.24,33.33,0.00,70.00,100.00,100.00,0.00,47.00,75.00,75.00,52.60,44.11,,
4218.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.60,93.86,0.25,0.00,0.60,0.00,0.33,0.60,1.00,0.00,1.00,0.38,0.71,0.00,0.00,0.50,0.00,0.00,0.00,0.00,0.25,1.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.25,0.00,0.00,0.20,0.67,0.17,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.75,25.00,0.00,60.00,0.00,33.33,20.33,100.00,0.00,100.00,80.00,44.20,37.50,71.43,54.46,0.00,0.00,0.00,45.00,45.00,0.00,25.00,56.25,24.38,0.00,0.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,0.00,0.00,0.00,16.67,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,25.00,0.00,6.80,0.00,20.00,36.67,13.33,0.00,0.00,12.40,33.33,0.00,0.00,0.00,0.00,0.00,10.00,75.00,75.00,23.00,27.24,,
4434.00,Education,Schools,Tawang,Lumla,Manpat,27.53,91.70,1.00,0.50,0.00,0.00,0.00,0.20,1.00,0.25,1.00,0.88,0.86,0.48,0.28,0.50,0.00,1.00,1.00,1.00,0.25,1.00,0.62,1.00,0.00,0.00,0.00,0.00,0.00,0.14,0.71,0.36,0.33,1.00,0.00,0.00,0.00,1.00,1.00,0.50,0.30,1.00,0.25,0.00,0.38,0.60,0.67,0.17,1.00,0.33,0.00,1.00,0.75,1.00,1.00,0.00,0.75,100.00,50.00,0.00,0.00,0.00,30.00,100.00,25.00,100.00,85.00,52.00,87.50,85.71,86.61,48.00,27.78,39.91,45.00,45.00,100.00,25.00,81.25,71.88,50.00,50.00,0.00,0.00,0.00,20.00,6.00,14.29,14.29,71.43,71.43,36.36,33.33,34.55,100.00,100.00,0.00,40.00,24.00,100.00,50.00,30.00,100.00,25.00,0.00,41.50,37.50,60.00,36.67,40.33,100.00,100.00,46.82,33.33,0.00,90.00,100.00,100.00,0.00,49.00,75.00,75.00,54.20,51.22,,
4529.00,Education,Schools,Lower Subansiri,Ziro,Hija,27.59,93.80,0.25,1.00,0.60,0.00,0.33,0.60,1.00,0.00,1.00,0.38,0.71,0.00,0.00,0.50,0.00,1.00,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.25,0.00,0.00,0.20,0.67,0.17,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.75,25.00,100.00,60.00,0.00,33.33,40.33,100.00,0.00,100.00,80.00,56.20,37.50,71.43,54.46,0.00,0.00,0.00,45.00,45.00,40.00,0.00,6.25,17.88,0.00,0.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,0.00,0.00,0.00,16.67,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.00,0.00,25.00,0.00,6.80,0.00,20.00,36.67,13.33,0.00,0.00,12.08,33.33,0.00,0.00,0.00,0.00,0.00,10.00,75.00,75.00,23.00,31.34,,
4723.00,Education,Schools,Lower Subansiri,Old Ziro,Kalung Reru,27.59,93.85,0.25,1.00,0.80,0.00,0.33,0.60,1.00,0.50,1.00,0.88,0.86,1.00,0.11,0.00,0.00,1.00,1.00,0.00,0.25,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.36,0.17,0.00,1.00,0.20,0.00,0.00,0.00,0.00,0.16,1.00,0.25,0.00,0.06,0.60,0.00,0.17,1.00,0.33,1.00,0.00,0.00,0.00,1.00,0.17,1.00,25.00,100.00,80.00,0.00,33.33,44.33,100.00,50.00,100.00,90.00,62.60,87.50,85.71,86.61,100.00,11.11,64.44,0.00,0.00,70.00,25.00,100.00,65.50,0.00,0.00,0.00,0.00,0.00,60.00,18.00,14.29,14.29,0.00,0.00,36.36,16.67,24.55,0.00,0.00,68.00,0.00,27.20,0.00,0.00,16.00,100.00,25.00,0.00,14.80,6.25,60.00,10.00,22.50,100.00,100.00,27.08,33.33,100.00,0.00,0.00,100.00,16.67,43.33,100.00,100.00,54.67,49.17,,
